page,name,description,tags,date
1,基于FAST Kit实现矩形区域划分,基于FAST Kit算法加速套件利用矩形划分求解器接口实现矩形区域划分功能,FAST Kit,2026-01-16
1,实现音频动效,基于AudioRenderer的播放能力和AudioCapturer的录制能力实现音频录制和播放的动效,"音频,动效",2026-01-16
1,基于媒体子系统实现媒体直播连麦功能,实现直播场景的音视频采集播放音频焦点管理ROI背景音乐添加前后摄像头翻转等功能,"直播,连麦",2026-01-16
1,音频类能力检测功能,检测音频类应用在不同音频场景下的功能完备度和准确性,音频检测,2026-01-16
1,音频播放交互场景,基于AudioRenderer开发音频播控功能后台播放播控中心交互焦点打断策略,音频播控,2026-01-16
1,基于DialogHub的通用弹窗,利用DialogHub弹窗框架实现多样化的弹窗需求,弹窗,2026-01-16
1,实现短视频流畅点播,短视频上下滑动快速起播动态添加数据源等能力,"视频点播,视频滑动",2026-01-16
1,基于SFFT的大文件高速并发传输,基于SFFT库实现大文件高速并发上传下载示例应用,"sfft,网络,上传下载,并发",2026-01-16
1,基于colorFilter实现图片滤镜效果,使用ColorFilter对图片进行色彩处理实现滤镜效果,"colorFilter,图片滤镜",2026-01-16
1,基于resizable实现图片拉伸效果,通过设置slice和lattice实现聊天消息气泡和可拉伸占位图,"图片拉伸,resizable",2026-01-07
2,基于TurboTransJSON实现高性能JSON解析,使用TurboTrans实现高性能JSON解析操作,"JSON,序列化,反序列化",2026-01-06
2,基于备份恢复框架的数据迁移,通过备份恢复框架实现从HarmonyOS 4.0升级到NEXT后的数据迁移,"应用数据备份恢复,应用数据迁移",2026-01-06
2,基于Text组件及通用属性实现文字特效,实现文字渐变歌词滚动文字倒影跑马灯渐变等多种文字效果,Text,2026-01-06
2,基于系统路由表实现页面跳转,运用系统路由表跳转到模块HSP/HAR的页面,系统路由表,2026-01-06
2,基于List组件实现待办事项列表编辑效果,实现待办事项管理文件管理备忘录的等场景列表编辑效果,List,2026-01-06
2,基于路由模块和动态加载实现应用页面路由导航功能,将路由功能抽取为单独的模块供其他模块使用实现业务模块间的解耦,Navigation,2026-01-06
2,基于Web组件实现设置和获取用户代理的功能,实现User Agent的设置和获取功能,"Web,UserAgent",2026-01-06
2,基于Web组件实现ArkTS原生页面与H5页面间跳转的功能,实现H5页面和ArkTS原生界面之间的相互跳转,"Web,javascript",2026-01-06
2,基于Native实现多线程开发以及线程间通信功能,以生产者消费者模型介绍Native多线程开发以及线程间通信,"Native,多线程",2026-01-06
2,实现ArkTS侧基础类型转化为Native侧数据类型功能,将ArkTS侧的数据传递到Native侧进行处理并返回结果,Native,2026-01-06
11,基于场景感知实现游戏与系统交互ArkTS,基于游戏场景感知完成游戏向系统发送数据和获取设备状态信息,"游戏场景感知,更新游戏场景信息,订阅设备信息",2026-01-06
11,基于SqueezeNet模型实现图像分类,展示CANN Kit的AI能力运行SqueezeNet模型进行图片分类,"图像分类,AI,模型推理",2026-01-06
11,基于游戏资源加速服务实现资源包后台下载ArkTS,通过Graphics Accelerate Kit系统后台下载方式下载游戏资源包,"游戏资源加速服务,资源包后台下载",2026-01-06
