kit_name,description,use_cases,key_apis
Account Kit,华为账号服务,用户登录认证、账号授权、用户信息获取,"authButton,loginWithHuaweiID"
Ads Kit,广告服务,Banner广告、插页广告、激励视频广告、原生广告,"AdComponent,RewardVideoAd"
Core Speech Kit,核心语音服务,语音识别(ASR)、语音合成(TTS)、语音唤醒,"SpeechRecognizer,TextToSpeech"
Core Vision Kit,核心视觉服务,文字识别(OCR)、人脸检测、图像分类,"TextRecognition,FaceDetector"
IAP Kit,应用内支付,商品购买、订阅服务、订单查询,"Iap.purchaseProduct,Iap.queryProducts"
Intents Kit,意图服务,意图框架、智能推荐、场景化服务,"IntentsManager,RecommendationClient"
Location Kit,定位服务,获取位置、地理围栏、活动识别,"LocationManager,GeoFence"
Live View Kit,实况窗服务,实时信息展示、锁屏卡片、动态更新,"LiveViewManager,LiveViewClient"
Payment Kit,支付服务,华为支付、订单管理,"PaymentManager,OrderClient"
Push Kit,推送服务,消息推送、通知管理、数据消息,"PushClient,NotificationManager"
Scan Kit,扫码服务,二维码/条形码扫描、码图生成,"ScanUtil,generateBarcode"
Share Kit,分享服务,隔空传送、碰一碰分享、文件分享,"harmonyShare,sharableTarget"
Vision Kit,场景化视觉服务,文档扫描、卡证识别、表格提取,"DocScanController,CardRecognizer"
Speech Kit,场景化语音服务,AI字幕、语音转文字、语音播报,"SpeechKit,AudioRecognizer"
FAST Kit,算法加速套件,矩形区域划分、网格数据处理、空间几何计算,"FastSolver,RectangleSolver"
Health Kit,健康服务,运动数据、睡眠数据、健康记录,"HealthDataStore,SleepRecord"
Map Kit,地图服务,地图显示、路径规划、POI搜索,"MapView,RoutePlanning"
Game Service,游戏服务,成就系统、排行榜、存档管理,"AchievementClient,RankingClient"
ML Kit,机器学习,图像分析、自然语言处理、模型推理,"MLAnalyzer,NLPProcessor"
