category,component,description,key_properties,common_use
基础组件,Text,文本显示组件,"fontSize,fontColor,fontWeight,maxLines,textOverflow",标题、正文、标签显示
基础组件,Image,图片显示组件,"src,objectFit,borderRadius,fillColor",图标、图片、头像
基础组件,Button,按钮组件,"type,stateEffect,backgroundColor,fontColor",操作按钮、提交、确认
基础组件,TextInput,单行文本输入,"placeholder,type,maxLength,onChange",用户名、搜索框
基础组件,TextArea,多行文本输入,"placeholder,maxLines,onChange",评论、备注输入
基础组件,Toggle,开关/复选框,"type,isOn,selectedColor,onChange",设置开关、选项勾选
基础组件,Slider,滑动选择器,"value,min,max,step,onChange",音量调节、进度选择
基础组件,Progress,进度条,"value,total,type,color",加载进度、任务进度
基础组件,Rating,评分组件,"rating,stars,stepSize,onChange",商品评分、满意度
基础组件,Divider,分割线,"strokeWidth,color,vertical",列表分隔、区块分隔
容器组件,Column,垂直布局容器,"space,alignItems,justifyContent",垂直排列子元素
容器组件,Row,水平布局容器,"space,alignItems,justifyContent",水平排列子元素
容器组件,Flex,弹性布局,"wrap,direction,justifyContent,alignItems",自动换行标签云
容器组件,Stack,层叠布局,"alignContent",浮动按钮、图片标签
容器组件,RelativeContainer,相对布局,"alignRules",复杂定位场景
容器组件,Grid,网格布局,"columnsTemplate,rowsTemplate,columnsGap,rowsGap",商品网格、功能入口
容器组件,List,列表容器,"space,divider,scrollBar",数据列表、消息列表
容器组件,Scroll,滚动容器,"scrollBar,edgeEffect",长页面滚动
容器组件,Swiper,轮播容器,"autoPlay,interval,indicator,loop",Banner轮播
容器组件,WaterFlow,瀑布流布局,"columnsTemplate,columnsGap,rowsGap",图片画廊、商品瀑布流
容器组件,Tabs,页签容器,"barPosition,index,onChange",多页面切换
容器组件,Navigation,导航容器,"title,mode,titleMode,menus",页面导航
容器组件,SideBarContainer,侧边栏容器,"showSideBar,sideBarPosition",一次开发多端部署
容器组件,FolderStack,折叠布局,"enableAnimation",折叠屏悬停态
容器组件,FoldSplitContainer,折叠分栏,"primary,secondary",折叠屏分栏
弹窗组件,AlertDialog,警告弹窗,"title,message,primaryButton,secondaryButton",确认操作、提示信息
弹窗组件,ActionSheet,操作面板,"title,sheets",底部操作选项
弹窗组件,CustomDialog,自定义弹窗,"controller,builder",复杂弹窗内容
弹窗组件,DialogHub,弹窗中心,"show,close",统一弹窗管理
弹窗组件,bindSheet,半模态弹窗,"isShow,sheetBuilder,height",底部弹出面板
媒体组件,Video,视频播放,"src,autoPlay,controls,loop",视频内容播放
媒体组件,XComponent,自定义渲染,"id,type,libraryname",游戏、相机预览
反馈组件,LoadingProgress,加载中,"width,height,color",加载等待状态
反馈组件,Refresh,下拉刷新,"refreshing,onRefresh",列表刷新
Web组件,Web,网页容器,"src,controller,javaScriptAccess",H5页面嵌入
