category,name,description,kit_used,tags,use_case
视觉AI,基于基础视觉服务及相机实现拍照识别文字功能,通过使用相机管理和textRecognition接口实现拍照后识别提取照片内文字的功能,Core Vision Kit,"AI,文字识别,基础视觉服务",文字识别工具应用
视觉AI,实现人脸活体检测控件,通过动作活体检测和静默活体检测验证用户是否为真实活体,Vision Kit,"动作活体检测,静默活体检测",身份验证防伪
视觉AI,实现人脸比对,对比两张图片中的人脸并判断是否为同一个人,Core Vision Kit,"AI,face,人脸比对,基础视觉服务",人脸验证
视觉AI,实现主体分割,识别和提取图像中的主体用于前景目标检测和前景主体分离的场景,Core Vision Kit,"AI,主体分割,基础视觉服务",图片编辑抠图
视觉AI,实现人脸识别,检测图片中的人脸并返回各项数据,Core Vision Kit,"AI,face,人脸检测,基础视觉服务",人脸信息采集
视觉AI,实现通用文字识别,图像信息转换为字符信息(OCR),Core Vision Kit,"AI,OCR,文字识别,基础视觉服务",证件识别文档扫描
视觉AI,实现文档扫描控件,拍摄文档并转换为高清扫描件,Vision Kit,"文档扫描,高清扫描",文档数字化
视觉AI,实现卡证识别控件,多证件的结构化识别服务(身份证/行驶证/驾驶证/护照/银行卡),Vision Kit,"身份证,行驶证,驾驶证,护照,银行卡,卡证识别",证件信息提取
视觉AI,实现表格提取功能,从图像中识别并提取表格,Vision Kit,"表格提取,Vision Kit",报表数据提取
语音AI,实现朗读控件,AI模型可对文本内容进行朗读(TTS控件化),Speech Kit,"AI,TTS,控件化",内容朗读
语音AI,实现AI字幕,将音频文件识别为文字,Speech Kit,"AI,ASR,场景化语音服务",视频字幕生成
语音AI,实现语音识别,将音频信息转换为文本(ASR),Core Speech Kit,"AI,ASR,基础语音服务",语音输入语音控制
语音AI,实现文本转语音,文本信息转换为语音并进行播报(TTS),Core Speech Kit,"AI,TTS,基础语音服务",语音播报导航播报
NLP,实现分词和实体抽取,文本语义理解相关的AI能力帮助开发者更好地处理和分析文本数据,Natural Language Kit,"AI,自然语言理解服务,分词,实体识别",搜索优化智能客服
