category,symbol_name,name_cn,unicode,module,usage
系统UI,sys.symbol.airplane_fill,飞行模式,F0113,状态栏,飞行模式开关
系统UI,sys.symbol.arrow_clockwise,刷新,F00C7,电子邮件,刷新/邮件
系统UI,sys.symbol.arrow_counterclockwise,恢复,F00C8,图库,恢复操作
系统UI,sys.symbol.arrow_counterclockwise_clock,历史记录,F03D5,计算器,历史记录
系统UI,sys.symbol.arrow_down_right_and_arrow_up_left,缩小,F00C9,备忘录,缩小视图
系统UI,sys.symbol.arrow_right_up_and_square,新页签打开,F00CB,浏览器,外部链接
系统UI,sys.symbol.arrow_up_left_and_arrow_down_right,放大,F00CD,输入法,放大视图
系统UI,sys.symbol.arrowshape_turn_up_right_fill,转发,F08C2,邮件,转发消息
系统UI,sys.symbol.battery,电池,F011A,DFS,电池状态
系统UI,sys.symbol.battery_75percent,电量75%,F0659,查找设备,电量显示
系统UI,sys.symbol.bell_fill,铃声,F01D1,查找设备,播放铃声
系统UI,sys.symbol.bell_slash,静音,F01D3,智慧生活,静音模式
系统UI,sys.symbol.bell_slash_fill,响铃静音,F01D2,状态栏,静音状态
系统UI,sys.symbol.bluetooth,蓝牙,F0254,DFS,蓝牙连接
系统UI,sys.symbol.bluetooth_slash,蓝牙关闭,F0253,状态栏,蓝牙关闭
系统UI,sys.symbol.bookmark,书签,F000A,录音机,标记打点
系统UI,sys.symbol.bookmark_filled_on_bookmark,稍后阅读,F065A,hivison/hitouch,稍后阅读
系统UI,sys.symbol.brush,换肤,F000D,输入法,主题换肤
系统UI,sys.symbol.brush_fill,主题选中,F000C,主题,主题选中态
系统UI,sys.symbol.checkmark,确认,F0013,备忘录,确认操作
系统UI,sys.symbol.checkmark_circle,清单,F000F,备忘录,任务清单
系统UI,sys.symbol.checkmark_circle_fill,完成,F000E,打印和扫描,完成状态
系统UI,sys.symbol.checkmark_square,多选,F0012,图库,多选模式
系统UI,sys.symbol.checkmark_square_fill,已选,F01DA,图库,已选状态
系统UI,sys.symbol.checkmark_square_on_square,全选,F0011,备忘录,全选操作
系统UI,sys.symbol.checkmark_square_on_square_fill,取消全选,F01D9,备忘录,取消全选
系统UI,sys.symbol.circle_viewfinder,扫一扫,F0123,智慧屏,扫码功能
系统UI,sys.symbol.clean,清理,F0016,应用市场,清理加速
系统UI,sys.symbol.clean_fill,保洁,F0015,智慧生活,清洁模式
系统UI,sys.symbol.dot_grid_1x2,列表更多,F0060,备忘录,更多选项
系统UI,sys.symbol.dot_grid_2x2,更多,F0061,全搜,更多功能
系统UI,sys.symbol.externaldrive,移动存储,F00DF,文管,外部存储
系统UI,sys.symbol.externaldrive_fill,移动存储填充,F00DE,文管,外部存储选中
系统UI,sys.symbol.externaldrive_fill_3,类别,F011E,应用市场,分类
系统UI,sys.symbol.eye,护眼模式,F0120,状态栏,护眼模式
系统UI,sys.symbol.eye_slash,密码不可见,F011F,全搜,隐藏密码
系统UI,sys.symbol.flag,目标,F01AC,APP,目标设置
系统UI,sys.symbol.flashlight_off_fill,手电筒关,F001A,锁屏AOD,手电筒关闭
系统UI,sys.symbol.flashlight_on_fill,手电筒开,F001C,锁屏AOD,手电筒开启
